id,label,score,sentiment
0,0,1.7514000000000002e-05,neg
1,0,2.33272e-05,neg
12,0,0.00107925,neg
24,0,0.00102728,neutral
26,0,0.0006723260000000001,neg
29,0,0.00023559099999999997,neg
33,0,0.00188858,neg
43,0,0.00018073,neg
46,0,0.00011840100000000001,neg
49,0,0.000260195,neg
69,0,0.0005390190000000001,neg
70,0,1.1501400000000001e-05,neg
75,0,0.0007035780000000001,neg
84,0,8.82517e-05,pos
90,0,2.3343699999999998e-05,neg
98,0,0.00048425,neg
99,0,1.74676e-05,neg
107,0,8.827200000000001e-05,neg
118,0,0.00014325200000000002,neg
123,0,1.1639000000000002e-05,neg
124,0,0.000137091,neg
130,0,0.000248138,neg
153,0,1.16405e-05,neg
154,0,0.00144729,neg
177,0,0.000167038,neg
178,0,7.03219e-05,neg
180,0,1.1520999999999999e-05,neg
182,0,4.08818e-05,neg
186,0,0.000953348,neg
195,0,1.15125e-05,neg
196,0,2.32736e-05,neg
202,0,0.000106015,neg
207,0,1.1639600000000001e-05,neg
223,0,1.15175e-05,neg
241,0,1.15001e-05,neg
242,0,0.000351556,neg
253,0,7.02886e-05,neg
254,0,4.1163999999999994e-05,neg
264,0,8.81016e-05,neg
266,0,9.397520000000001e-05,neg
269,0,7.037430000000001e-05,neg
282,0,1.7443e-05,neutral
284,0,9.43785e-05,neg
287,0,2.3353200000000002e-05,pos
290,0,8.821790000000001e-05,neg
303,0,0.00015490000000000002,neg
309,0,0.00014282,neg
324,0,4.0930900000000005e-05,neg
333,0,0.000267088,neg
337,0,0.000106028,neg
338,0,0.00018056099999999998,neg
342,0,0.000167557,neg
347,0,4.07174e-05,neg
348,0,1.75088e-05,neg
358,0,6.43709e-05,neg
399,0,1.74684e-05,neg
411,0,6.43394e-05,neg
419,0,0.00014904,neg
433,0,0.000106241,neg
452,0,4.07584e-05,neutral
463,0,2.3247e-05,neg
468,0,0.000131045,neg
471,0,0.0014791,neg
472,0,4.09316e-05,neg
477,0,2.33502e-05,neg
479,0,0.00016088700000000002,neg
495,0,0.00025424299999999997,neg
501,0,1.73968e-05,neg
504,0,1.1569300000000001e-05,neg
512,0,0.000160891,neg
517,0,8.20634e-05,neg
521,0,1.7388900000000002e-05,neg
563,0,1.1594100000000001e-05,neg
566,0,5.729199999999999e-06,neg
570,0,2.34617e-05,neg
574,0,1.15229e-05,neg
587,0,0.00294864,neg
589,0,0.00013103,neg
595,0,4.10111e-05,neg
602,0,0.000174278,neg
616,0,4.0761e-05,neg
630,0,0.000143255,neutral
638,0,0.00026669,neg
664,0,4.08143e-05,neg
679,0,7.025899999999999e-05,neg
694,0,1.73953e-05,neg
702,0,6.42436e-05,neg
706,0,0.000118688,neg
708,0,0.000118884,neg
728,0,0.000235031,neg
733,0,0.000569539,neutral
736,0,1.74012e-05,neg
738,0,2.3331199999999998e-05,neg
739,0,0.000166839,neg
741,0,0.0001927,neg
743,0,0.000174713,neg
757,0,1.14821e-05,neg
762,0,0.000148961,neg
773,0,7.02638e-05,neg
774,0,5.27673e-05,neutral
790,0,1.1506600000000001e-05,neg
800,0,1.15801e-05,neg
823,0,0.000247736,neg
830,0,0.00294717,neg
841,0,1.15008e-05,neg
845,0,0.00029232,neg
850,0,9.4174e-05,neg
851,0,1.16423e-05,neg
871,0,0.000106032,neg
918,0,8.81752e-05,neutral
935,0,4.6924799999999995e-05,neg
939,0,1.7457e-05,neg
943,0,4.70661e-05,neg
970,0,1.15352e-05,neg
992,0,0.00037581199999999995,neg
994,0,4.0957399999999995e-05,neg
998,0,1.7467e-05,neg
1000,0,4.07678e-05,neutral
1008,0,0.000297923,neg
1034,0,0.000235214,neg
1037,0,2.32492e-05,neg
1038,0,1.14882e-05,neg
1050,0,0.00019836900000000002,neg
1077,0,0.000167788,neg
1083,0,2.33986e-05,neg
1090,0,4.0788400000000004e-05,neg
1099,0,0.00010629899999999999,neg
1102,0,1.1611199999999998e-05,neg
1123,0,0.00109239,neg
1157,0,1.74385e-05,neg
1160,0,7.01203e-05,neg
1162,0,0.000234688,neg
1228,0,2.33994e-05,neutral
1264,0,1.1588800000000002e-05,neg
1267,0,1.74767e-05,neg
1274,0,1.16412e-05,neg
1279,0,1.14958e-05,neg
1283,0,0.000167301,neg
1302,0,0.000216356,neg
1312,0,1.74838e-05,neg
1334,0,0.000291718,neg
1335,0,0.000137144,neg
1339,0,7.03151e-05,neg
1342,0,2.33311e-05,neg
1346,0,0.00011219200000000001,neg
1351,0,4.09601e-05,neg
1366,0,4.0955100000000004e-05,neg
1367,0,0.000118357,neg
1370,0,8.823799999999999e-05,neg
1386,0,1.15388e-05,neg
1433,0,1.14617e-05,neg
1434,0,1.1591099999999998e-05,neg
1440,0,0.00010031,neg
1471,0,1.16422e-05,neg
1499,0,0.000532695,neg
1513,0,0.00025514900000000003,neg
1544,0,0.000118386,neg
1547,0,4.0767e-05,neg
1549,0,0.00126615,neg
1563,0,2.33721e-05,neg
1574,0,9.43957e-05,neg
1588,0,0.00013097100000000002,neg
1600,0,0.000234598,neg
1637,0,2.3398200000000002e-05,neg
1658,0,1.15099e-05,neg
1670,0,4.08906e-05,neg
1689,0,1.1499700000000001e-05,neg
1695,0,0.00188848,neg
1702,0,7.62627e-05,neg
1709,0,1.7508699999999997e-05,neg
1714,0,8.842270000000001e-05,neg
1752,0,0.00158216,neg
1769,0,0.000160791,neg
1781,0,1.1500299999999999e-05,neg
1786,0,0.000248947,neutral
1800,0,2.33562e-05,neg
1804,0,0.00016720599999999998,neg
1817,0,4.105e-05,neg
1819,0,4.0732199999999996e-05,neg
1820,0,8.806959999999999e-05,neg
1823,0,1.7442699999999998e-05,neg
1831,0,1.15141e-05,neg
1854,0,2.32514e-05,neg
1856,0,2.33558e-05,pos
1867,0,4.10521e-05,neg
1884,0,1.1497300000000001e-05,neg
1886,0,1.1501500000000002e-05,neg
1888,0,4.07086e-05,neg
1902,0,4.07822e-05,neg
1915,0,4.10406e-05,neg
1924,0,0.000118611,neg
1930,0,1.74986e-05,neg
1931,0,1.15871e-05,neg
1979,0,4.69188e-05,neg
1992,0,0.000131165,neg
2005,0,0.000216947,neg
2037,0,2.33575e-05,neg
2046,0,1.74575e-05,neg
2053,0,5.2659799999999993e-05,neg
2074,0,8.805540000000001e-05,neg
2081,0,4.1016599999999996e-05,neg
2084,0,0.00023480900000000002,neg
2088,0,7.01312e-05,neg
2114,0,8.204e-05,neg
2116,0,4.0957899999999996e-05,neg
2121,0,1.16297e-05,neg
2134,0,0.00016753799999999998,neg
2141,0,2.33381e-05,neg
2169,0,0.00016743400000000002,neutral
2185,0,0.000198651,neg
2196,0,2.33186e-05,neg
2215,0,0.000316441,neg
2240,0,1.15579e-05,neg
2244,0,0.00214633,neutral
2255,0,8.79435e-05,neg
2258,0,0.000758048,neg
2259,0,1.16039e-05,neg
2262,0,1.1631800000000001e-05,neg
2294,0,1.1599300000000001e-05,neg
2297,0,1.7490499999999998e-05,neg
2308,0,9.44641e-05,neg
2310,0,0.000112358,neg
2318,0,1.1601600000000001e-05,neg
2348,0,4.10189e-05,neg
2358,0,0.000167142,neg
2363,0,1.7469e-05,neg
2380,0,1.1536700000000001e-05,neg
2384,0,1.73844e-05,neg
2389,0,0.000118119,neg
2399,0,0.00010025799999999999,neg
2402,0,0.000222002,neg
2405,0,1.15614e-05,neg
2413,0,1.1490899999999999e-05,neg
2443,0,0.000167806,neg
2497,0,7.0334e-05,neg
2501,0,2.33254e-05,neg
2521,0,0.000478338,neg
2534,0,0.000160813,neg
2542,0,0.00016705099999999998,pos
2580,0,7.0308e-05,neg
2587,0,0.000525902,neutral
2590,0,0.000112555,neutral
2614,0,2.3302600000000003e-05,neg
2615,0,0.000100241,neg
2625,0,4.07517e-05,pos
2626,0,7.036609999999999e-05,neg
2627,0,1.74862e-05,neg
2637,0,4.0828099999999996e-05,neg
2639,0,0.000130666,neg
2645,0,4.08783e-05,neg
2649,0,7.01975e-05,neg
2673,0,8.822280000000001e-05,neg
2674,0,0.000130652,neg
2677,0,1.7419600000000002e-05,neg
2678,0,0.00019903599999999998,neg
2700,0,1.15668e-05,neg
2701,0,1.16203e-05,neg
2720,0,4.09255e-05,neg
2748,0,1.1543800000000001e-05,neg
2754,0,7.62911e-05,neg
2757,0,0.000118638,neg
2759,0,1.14927e-05,neg
2771,0,7.05188e-05,neg
2789,0,0.00016785900000000002,neg
2808,0,0.00016132,neg
2816,0,2.33867e-05,neutral
2831,0,4.08153e-05,neutral
2856,0,6.43064e-05,neg
2864,0,0.000112148,neg
2868,0,0.000254492,neg
2870,0,1.14649e-05,neg
2871,0,4.06927e-05,neg
2878,0,1.74655e-05,neg
2882,0,1.15188e-05,neg
2916,0,8.810360000000001e-05,neg
2927,0,2.3272199999999997e-05,neg
2928,0,0.00010041600000000001,neg
2947,0,4.10167e-05,neg
2949,0,1.74384e-05,neg
2980,0,1.16605e-05,neg
2988,0,0.00013115299999999998,neutral
2990,0,4.0995200000000004e-05,neg
2999,0,1.1634100000000001e-05,neg
3002,0,4.07092e-05,neg
3036,0,0.000260652,neg
3061,0,0.00011193299999999999,neg
3074,0,0.00013090200000000001,neg
3104,0,1.1593900000000001e-05,neg
3109,0,0.000106083,neg
3113,0,1.74258e-05,neg
3118,0,0.0024309,neg
3125,0,0.000266999,neutral
3134,0,1.74672e-05,neg
3142,0,1.74191e-05,neg
3146,0,0.000130521,neg
3160,0,7.03511e-05,neg
3161,0,1.15307e-05,neg
3184,0,1.7391e-05,neg
3188,0,4.08068e-05,neg
3191,0,1.14741e-05,neutral
3200,0,1.74057e-05,neg
3221,0,1.75176e-05,neg
3239,0,0.000130707,neg
3244,0,0.000466512,neg
3254,0,1.74235e-05,neg
3257,0,7.01057e-05,neg
3274,0,0.00011870799999999999,neg
3285,0,1.75145e-05,neg
3288,0,1.7471e-05,neg
3318,0,0.00024176799999999998,neg
3335,0,1.15724e-05,neg
3336,0,8.791129999999999e-05,neg
3340,0,0.000181071,neg
3368,0,4.09497e-05,neg
3413,0,2.33617e-05,neg
3454,0,1.74359e-05,neg
3457,0,0.000227221,neg
3471,0,0.0007096180000000001,neg
3485,0,0.00010643299999999999,neg
3490,0,1.7451e-05,neg
3504,0,1.1491300000000001e-05,neg
3510,0,0.0012954000000000002,neg
3512,0,9.44008e-05,neg
3526,0,1.75081e-05,neg
3535,0,1.15082e-05,neg
3566,0,4.08627e-05,neg
3600,0,0.000764432,neutral
3608,0,7.6219e-05,neg
3612,0,0.00014926700000000002,neg
3630,0,1.16491e-05,neg
3636,0,0.000460264,neg
3656,0,0.000112484,neg
3671,0,0.000112489,neg
3679,0,1.75033e-05,neg
3689,0,0.000472686,neg
3707,0,0.000130469,neg
3738,0,2.34423e-05,neg
3742,0,0.00016711,neg
3753,0,0.00013047,neg
3758,0,1.15426e-05,neg
3759,0,4.70904e-05,neg
3760,0,2.3529400000000002e-05,neg
3761,0,7.03296e-05,neg
3767,0,0.00150372,neg
3769,0,7.62271e-05,neg
3770,0,1.1658599999999999e-05,neg
3773,0,0.00016722700000000002,neg
3794,0,4.69279e-05,neg
3809,0,1.7501700000000002e-05,neg
3812,0,8.82757e-05,neg
3823,0,8.84586e-05,neg
3838,0,0.00011824,neg
3853,0,4.68841e-05,neutral
3880,0,2.34743e-05,neg
3893,0,0.000112231,neg
3897,0,0.000131269,neg
3900,0,0.000175063,neg
3930,0,2.33776e-05,neg
3962,0,0.000234245,neg
3970,0,8.20307e-05,neg
4002,0,4.7034e-05,neg
4037,0,2.3272800000000002e-05,neg
4040,0,1.75021e-05,neg
4054,0,1.1633e-05,neg
4064,0,1.16199e-05,neg
4079,0,4.0710799999999997e-05,neg
4089,0,4.69795e-05,neg
4091,0,0.00013073799999999998,neg
4104,0,1.74471e-05,neg
4113,0,0.000149097,neg
4115,0,0.000111999,neg
4121,0,1.1522e-05,neg
4127,0,0.00020981,neg
4130,0,2.34561e-05,neg
4138,0,0.00039400800000000005,neg
4162,0,0.00147406,neg
4173,0,2.34575e-05,neg
4179,0,0.000234296,neg
4212,0,1.1460699999999999e-05,neg
4223,0,0.000180492,neutral
4241,0,0.000235365,neg
4246,0,8.20682e-05,neg
4253,0,0.00010031700000000001,neg
4273,0,9.446360000000001e-05,neg
4316,0,0.000334084,neg
4333,0,0.000168077,neg
4335,0,4.07953e-05,neg
4336,0,1.74072e-05,neg
4337,0,1.73915e-05,neg
4350,0,1.16664e-05,neg
4356,0,1.15951e-05,neg
4397,0,0.00011235299999999999,neg
4412,0,1.15628e-05,neg
4418,0,0.00132559,neg
4431,0,2.33461e-05,neutral
4438,0,1.15957e-05,neg
4442,0,4.69208e-05,neg
4445,0,0.000100147,neg
4458,0,4.07272e-05,neg
4467,0,0.0007454380000000001,neg
4471,0,7.02687e-05,neg
4474,0,0.000118719,neg
4487,0,7.03015e-05,neg
4499,0,7.002270000000001e-05,neg
4511,0,0.000130559,neg
4520,0,0.000234561,neutral
4531,0,4.06996e-05,neg
4543,0,4.08305e-05,neg
4562,0,0.00116541,neutral
4568,0,1.1509100000000001e-05,neg
4569,0,0.000248664,neg
4573,0,4.6885e-05,neg
4579,0,4.69759e-05,neg
4580,0,1.1629000000000002e-05,neutral
4585,0,2.3283e-05,neg
4590,0,4.09713e-05,neg
4626,0,1.75019e-05,neg
4627,0,4.06827e-05,neg
4630,0,1.1501500000000002e-05,neutral
4648,0,1.16227e-05,neg
4649,0,0.000520821,neg
4665,0,5.27222e-05,neg
4667,0,0.000112445,neg
4668,0,1.1600799999999999e-05,neg
4684,0,5.2676499999999996e-05,neg
4689,0,2.34589e-05,neg
4691,0,0.00016743599999999997,neg
4692,0,0.00011825799999999999,neg
4703,0,4.09939e-05,neg
4706,0,2.32956e-05,neg
4707,0,1.1608299999999999e-05,neg
4713,0,1.73929e-05,neg
4727,0,0.000297369,neg
4752,0,0.000272515,neutral
4764,0,4.0655300000000004e-05,neg
4786,0,5.27104e-05,neg
4793,0,0.000241803,neg
4798,0,0.00014884299999999998,neg
4807,0,1.1581e-05,neg
4812,0,2.3433800000000003e-05,neg
4819,0,1.74592e-05,neutral
4823,0,0.0008737,neg
4827,0,7.63194e-05,neg
4831,0,0.00010030700000000001,neg
4835,0,0.000167445,neg
4844,0,9.998489999999999e-05,neg
4860,0,1.14769e-05,neg
4865,0,4.09635e-05,neg
4876,0,1.1467200000000001e-05,neg
4892,0,5.2706999999999995e-05,neg
4916,0,2.33576e-05,neg
4937,0,1.16574e-05,neg
4942,0,0.00047226300000000006,neg
4954,0,0.00029712,neg
4962,0,4.08761e-05,neg
4971,0,4.07697e-05,neg
4981,0,4.6893999999999995e-05,neg
4990,0,1.15342e-05,neg
4995,0,0.00188858,neg
5004,0,2.34688e-05,neutral
5010,0,0.00011844399999999999,neg
5011,0,0.000198747,neg
5030,0,2.3461500000000002e-05,neg
5032,0,0.000198878,neg
5043,0,1.15547e-05,neg
5070,0,9.983790000000001e-05,neg
5099,0,4.0951399999999996e-05,neutral
5134,0,0.00087368,neg
5138,0,0.000130564,neg
5141,0,0.000131159,neg
5144,0,1.74896e-05,neg
5148,0,1.1565199999999999e-05,neg
5154,0,8.202969999999999e-05,neg
5161,0,0.000241384,neg
5165,0,7.04738e-05,neg
5167,0,0.000273635,neg
5170,0,9.41086e-05,neg
5171,0,2.3420300000000003e-05,neg
5183,0,8.788610000000001e-05,neg
5193,0,1.14918e-05,neg
5195,0,0.000199137,neg
5204,0,5.72994e-06,neg
3,1,0.00226768,neg
5,1,0.00234411,neg
55,1,2.8920500000000002e-05,neg
133,1,0.0006823689999999999,neg
162,1,0.00151082,neg
175,1,0.00279924,neg
194,1,0.00254571,neg
203,1,0.0020913,neutral
211,1,0.00100022,neutral
216,1,0.0023568,neg
249,1,0.00191651,neg
250,1,0.00033772,neg
258,1,0.00209247,neg
270,1,0.00270512,neg
274,1,0.00206365,neg
279,1,0.00243883,neg
293,1,0.000385378,neg
299,1,0.00255855,neg
304,1,0.000706389,neg
339,1,5.7325199999999995e-06,neg
353,1,0.00263467,neutral
356,1,0.0027943,neg
365,1,0.00299653,neg
368,1,0.00111913,neg
372,1,0.0016805999999999998,neg
373,1,0.000778405,neutral
384,1,0.00241228,neg
409,1,0.00259755,neg
416,1,0.00251657,neg
418,1,0.00213521,neg
448,1,0.00172713,neg
453,1,1.7317e-05,neg
473,1,0.00270731,neg
476,1,0.00133823,neg
478,1,0.00265737,neutral
483,1,0.00139379,neg
491,1,0.00203533,neg
496,1,0.00232672,neg
497,1,0.00272496,neg
498,1,0.00119901,neutral
532,1,0.00243582,neg
534,1,0.00270575,neutral
535,1,0.00254904,pos
536,1,0.0026622,pos
537,1,0.00219999,neg
538,1,0.0027031,neg
559,1,0.00267211,neg
568,1,0.00254719,neg
578,1,0.00257364,neg
613,1,0.00110682,neg
622,1,0.00217908,pos
633,1,0.00183012,neg
634,1,0.00135942,neg
637,1,0.00195678,neg
647,1,0.00150578,neg
657,1,0.000694466,neg
681,1,0.00206805,neg
705,1,0.00206802,neg
712,1,0.00165282,neutral
715,1,0.00238064,neg
725,1,0.00242046,neg
726,1,0.00020927400000000002,pos
751,1,0.00280137,neg
793,1,1.73183e-05,neg
811,1,0.00035595699999999995,neg
814,1,0.0011264,pos
816,1,0.00251553,neg
817,1,0.00205362,neg
825,1,0.00232023,pos
840,1,0.0023410999999999996,neutral
842,1,0.00237737,neg
844,1,0.00169327,neg
875,1,0.00242135,neg
904,1,0.0027155,neg
912,1,0.00285406,neg
932,1,0.00169848,neg
949,1,0.00231733,neg
954,1,0.00212569,neg
975,1,0.00280056,neg
980,1,0.00193226,neutral
986,1,0.00240607,neutral
991,1,0.00195734,pos
995,1,0.00255836,neg
1009,1,0.00257639,neutral
1011,1,0.00226763,pos
1016,1,0.00255475,neg
1041,1,0.00235669,neg
1055,1,0.00242356,neg
1058,1,0.00106344,neg
1086,1,0.00248685,neg
