,name,followers_count,total_number_of_tweets,location,language,tweet_count
0,Pop Culture Brain,3067.0,58687,NYC,en,2
1,Diane,76.0,3155,"California, USA",en,2
2,AdÃ©lie Pojzman-Pontay,1517,2143,"Paris, France",fr,2
3,tactical bastard deployed @ AC,263,59023,he/him,en,2
4,maria cristina sherman,14554,82415,"New York, NY",en,2
5,ğŸ‡ºğŸ‡¸ Bob ğŸ‡ºğŸ‡¸,5589,10570,"Florida, USA",en,2
6,Adam B. Vary,15248.0,23506,Los Angeles,en,2
7,Nele Blixen ğŸ,908.0,128188, FuÃŸ d.Ngong-Berge,de,2
8,Gus Barrientos L.,3372.0,138248,"Cholula, Puebla",es,2
9,Alexander Cooper,47027,210567,"England, United Kingdom",en,2
10,Dan Butcher,1069.0,20102,New York City,en,2
11,Sandy,497,31361,Virginia,en,2
12,Hayes Brown,44128,124377,"New York, NY",en,2
13,Ventaneando oficial,651558,141601,MÃ©xico,es,2
14,chelsey,1331,85232,"Brighton, UK",en,2
15,Catherine,200.0,7690,United States,en,2
16,ArubaSpice,1267.0,21947,"New York, USA",en,2
17,Amber,52.0,1628,Florida,en,2
18,Morgan Schechter Shanahan,20951,29387,above Sunset,en,2
19,.,63.0,1693,United States,en,2
20,Eric Morrow,1364,9796,The Island of Manhattan,en,2
21,Shivam ğŸ¦‹,1149,13329,"Waltham, MA",en,2
22,Ash,74.0,8952,United States,en,2
23,ğŸ‡ºğŸ‡¸ğŸ”¥Lady Deâ€™PlorableğŸ”¥ğŸ‡ºğŸ‡¸,79897.0,423360,USA,en,2
24,Greg,9,686,United States,en,2
25,Vera Bergengruen,17307,21553,"Washington, DC via ğŸ‡ºğŸ‡¾ ğŸ‡¨ğŸ‡± ğŸ‡²ğŸ‡½ ğŸ‡©ğŸ‡ª & Miami",en,2
26,Katie Rayford,1291.0,4424,"New York, NY",en,2
27,giselle garcia,1537.0,530232,NYC ,en,2
28,Kelsey,46,1238,"Vancouver, British Columbia",en,2
29,Effie,162.0,8809,"New York, NY",en,2
30,Chris Lam ğŸ”œ #WonderCon ğŸŒ ,3469.0,21805,"Los Angeles, CA",en,2
31,julia reinstein ğŸš¡,23262,37481,"Brooklyn, NY",en,2
32,Emily Olsen,1114.0,9297,"Chicago, IL",en,2
33,David,238,8928,United States,en,2
34,Sarah,5665.0,41924,UK,en,2
35,idil gÃ¶zde,463.0,783,"New York, USA",en,2
36,nikhil ğŸ¤™ğŸ½,760.0,11349,404 // he/him,en,2
37,Dan Vergano,16838.0,26438,"Washington, DC",en,2
38,William,173.0,44312,Canada,en,2
39,Rebecca,93.0,423,"Minnesota, USA",en,2
40,Mike P Williams,31221.0,143548,London,en,2
41,BuzzFeed Deutschland,11456.0,21480,Berlin,de,2
42,Laurie Schechter,1293.0,23017,New York City,en,2
43,Driadonna.com,2735.0,24882,NYC/313,en,2
44,ğŸ³ï¸â€ğŸŒˆâƒ Home of Phobes ğŸ³ï¸â€ğŸŒˆâƒ dont VIBE with queers,9894.0,201682,The Isle of Lesb(ian)os,en,2
45,Lisa,51,1385,USA,en,2
46,Sharon,85,6464,USA,en,2
47,J,1094,51305,"Los Angeles, CA",en,2
48,Antionette Blake,3482,20183,"Middletown, DE",en,2
49,i like marines now apparently?,589.0,78245,Danger Zone,en,2
50,Gary,3766.0,6964,United States,en,2
51,Lauren Strapagiel ğŸ¦‡,6311,17139,Toronto,en,2
52,Wen,2040.0,16858,United States,en,2
53,IG: MIDUFINGA617,1065.0,41054,Bank Vault,en,2
54,Emily Alford,1630.0,2535,"Los Angeles, CA",en,2
55,Elizabeth Pears,7973.0,27434,In the belly of the beast,en,2
56,Tom Gara,48144.0,105115,PGP: http://bit.ly/1Nja4jP,en,2
57,OHIO NURSE,4157.0,60250,TRUMPS AMERICA is MY AMERICA,en,2
58,Annie Curtains,113,25785,"New York, USA",en,2
59,Andrea,737,38198,"Windsor, ON",en,2
60,Tiffany Bey,317.0,12500,"New York, NY",en,2
61,Jae Borou,370.0,2545,"Connecticut, USA",en,2
62,Ramble on,1720.0,21883,USA - Hong Kong,en,2
63,"QuizzesFeed, Inc",288.0,10048,United States,en,2
64,Michelle,59,4558,"California, USA",en,2
65,Phil Jahner,1677,40633,Berlin,de,2
66,Melanie,46,1034,"California, USA",en,2
67,Jay,80,316,Canada,en,2
68,ğŸ‡®ğŸ‡ªRealist-IdealistğŸ‡ºğŸ‡¸,671.0,7759.0,the timeline God abandoned,en,2
69,Ray,373,21718,United States,en,2
70,nancy garrison,5131.0,46417,"North Carolina, USA",en,2
71,average ontarian,152.0,1388,Canada,en,2
72,Amy Odell,51951.0,12974,New York,en,2
73,Delaney Strunk,1345,7669,"Atlanta, GA",en,2
